"","penalty","mixture",".metric",".estimator","mean","n","std_err",".config","model"
"51",1e-04,0.25,"kap","binary",0.00970772929927888,5,0.00448733026032195,"Preprocessor1_Model09","Logistic regression(Tuned)"
"52",1e-04,0.25,"roc_auc","binary",0.57129014365988,5,0.00719306759271025,"Preprocessor1_Model09","Logistic regression(Tuned)"
"53",1e-04,0.25,"sens","binary",0.998283566003062,5,0.000795431131231011,"Preprocessor1_Model09","Logistic regression(Tuned)"
"54",1e-04,0.25,"spec","binary",0.00857852095516569,5,0.0038293368885604,"Preprocessor1_Model09","Logistic regression(Tuned)"
"55",0.001,0.25,"accuracy","binary",0.715447867388701,5,0.000690393325051163,"Preprocessor1_Model10","Logistic regression(Tuned)"
"56",0.001,0.25,"f_meas","binary",0.833648794426348,5,0.000300132896862652,"Preprocessor1_Model10","Logistic regression(Tuned)"
"57",0.001,0.25,"kap","binary",0.00970772929927888,5,0.00448733026032195,"Preprocessor1_Model10","Logistic regression(Tuned)"
"58",0.001,0.25,"roc_auc","binary",0.57129014365988,5,0.00719306759271025,"Preprocessor1_Model10","Logistic regression(Tuned)"
"59",0.001,0.25,"sens","binary",0.998283566003062,5,0.000795431131231011,"Preprocessor1_Model10","Logistic regression(Tuned)"
"60",0.001,0.25,"spec","binary",0.00857852095516569,5,0.0038293368885604,"Preprocessor1_Model10","Logistic regression(Tuned)"
"61",0.01,0.25,"accuracy","binary",0.715559350108879,5,0.000731543126200367,"Preprocessor1_Model11","Logistic regression(Tuned)"
"62",0.01,0.25,"f_meas","binary",0.833768431731587,5,0.000289267469134014,"Preprocessor1_Model11","Logistic regression(Tuned)"
"63",0.01,0.25,"kap","binary",0.00926779983938633,5,0.00483067474125428,"Preprocessor1_Model11","Logistic regression(Tuned)"
"64",0.01,0.25,"roc_auc","binary",0.570959862432992,5,0.00732998601355218,"Preprocessor1_Model11","Logistic regression(Tuned)"
"65",0.01,0.25,"sens","binary",0.998751706508541,5,0.000679973541877108,"Preprocessor1_Model11","Logistic regression(Tuned)"
