,.metric,.estimator,mean,n,std_err,.config,model,penalty,mixture,mtry,trees,min_n
55,accuracy,binary,0.715782254,5,0.000698056,Preprocessor1_Model03,Logistic regression(Tuned),0.001,0,NA,NA,NA
56,f_meas,binary,0.833811864,5,0.000294507,Preprocessor1_Model03,Logistic regression(Tuned),0.001,0,NA,NA,NA
57,kap,binary,0.011362079,5,0.004595023,Preprocessor1_Model03,Logistic regression(Tuned),0.001,0,NA,NA,NA
58,roc_auc,binary,0.571268225,5,0.00705589,Preprocessor1_Model03,Logistic regression(Tuned),0.001,0,NA,NA,NA
59,sens,binary,0.998283566,5,0.000795431,Preprocessor1_Model03,Logistic regression(Tuned),0.001,0,NA,NA,NA
60,spec,binary,0.009748873,5,0.003946504,Preprocessor1_Model03,Logistic regression(Tuned),0.001,0,NA,NA,NA
61,accuracy,binary,0.715670833,5,0.000766487,Preprocessor1_Model04,Logistic regression(Tuned),0.01,0,NA,NA,NA
62,f_meas,binary,0.833757663,5,0.000331646,Preprocessor1_Model04,Logistic regression(Tuned),0.01,0,NA,NA,NA
63,kap,binary,0.01080714,5,0.004863233,Preprocessor1_Model04,Logistic regression(Tuned),0.01,0,NA,NA,NA
64,roc_auc,binary,0.571264879,5,0.007056277,Preprocessor1_Model04,Logistic regression(Tuned),0.01,0,NA,NA,NA
65,sens,binary,0.998283566,5,0.000795431,Preprocessor1_Model04,Logistic regression(Tuned),0.01,0,NA,NA,NA
66,spec,binary,0.00935901,5,0.00410698,Preprocessor1_Model04,Logistic regression(Tuned),0.01,0,NA,NA,NA
67,accuracy,binary,0.715447929,5,0.000727907,Preprocessor1_Model05,Logistic regression(Tuned),0.1,0,NA,NA,NA
68,f_meas,binary,0.833843737,5,0.00034882,Preprocessor1_Model05,Logistic regression(Tuned),0.1,0,NA,NA,NA
69,kap,binary,0.006759294,5,0.003765104,Preprocessor1_Model05,Logistic regression(Tuned),0.1,0,NA,NA,NA
70,roc_auc,binary,0.570591277,5,0.006886797,Preprocessor1_Model05,Logistic regression(Tuned),0.1,0,NA,NA,NA
71,sens,binary,0.999687988,5,0.000191068,Preprocessor1_Model05,Logistic regression(Tuned),0.1,0,NA,NA,NA
72,spec,binary,0.005068988,5,0.002728827,Preprocessor1_Model05,Logistic regression(Tuned),0.1,0,NA,NA,NA
73,accuracy,binary,0.714222054,5,6.37E-05,Preprocessor1_Model06,Logistic regression(Tuned),1,0,NA,NA,NA
74,f_meas,binary,0.833290001,5,4.34E-05,Preprocessor1_Model06,Logistic regression(Tuned),1,0,NA,NA,NA
75,kap,binary,0,5,0,Preprocessor1_Model06,Logistic regression(Tuned),1,0,NA,NA,NA
76,roc_auc,binary,0.570075307,5,0.006682016,Preprocessor1_Model06,Logistic regression(Tuned),1,0,NA,NA,NA
77,sens,binary,1,5,0,Preprocessor1_Model06,Logistic regression(Tuned),1,0,NA,NA,NA
78,spec,binary,0,5,0,Preprocessor1_Model06,Logistic regression(Tuned),1,0,NA,NA,NA
79,accuracy,binary,0.714222054,5,6.37E-05,Preprocessor1_Model07,Logistic regression(Tuned),10,0,NA,NA,NA
80,f_meas,binary,0.833290001,5,4.34E-05,Preprocessor1_Model07,Logistic regression(Tuned),10,0,NA,NA,NA
81,kap,binary,0,5,0,Preprocessor1_Model07,Logistic regression(Tuned),10,0,NA,NA,NA
82,roc_auc,binary,0.570018149,5,0.006662603,Preprocessor1_Model07,Logistic regression(Tuned),10,0,NA,NA,NA
83,sens,binary,1,5,0,Preprocessor1_Model07,Logistic regression(Tuned),10,0,NA,NA,NA
84,spec,binary,0,5,0,Preprocessor1_Model07,Logistic regression(Tuned),10,0,NA,NA,NA
85,accuracy,binary,0.715447867,5,0.000690393,Preprocessor1_Model08,Logistic regression(Tuned),1.00E-05,0.25,NA,NA,NA
