"",".threshold","specificity","sensitivity","model"
"1",-Inf,0,1,"Logistic regression"
"2",0.0312337961723653,0,1,"Logistic regression"
"3",0.138716307924428,0,0.999843945068664,"Logistic regression"
"4",0.246549253356167,0.000390015600624025,0.999843945068664,"Logistic regression"
"5",0.274623998111576,0.00078003120124805,0.999843945068664,"Logistic regression"
"6",0.310551307556367,0.00078003120124805,0.999687890137328,"Logistic regression"
"7",0.349484476051339,0.00117004680187207,0.999687890137328,"Logistic regression"
"8",0.352005613070676,0.0015600624024961,0.999687890137328,"Logistic regression"
"9",0.352220620448947,0.00195007800312012,0.999687890137328,"Logistic regression"
"10",0.353625805429406,0.00234009360374415,0.999687890137328,"Logistic regression"
"11",0.354772216643223,0.00273010920436817,0.999687890137328,"Logistic regression"
"12",0.354788908542686,0.0031201248049922,0.999687890137328,"Logistic regression"
"13",0.358297881928063,0.00351014040561622,0.999687890137328,"Logistic regression"
"14",0.358450072021982,0.00390015600624025,0.999687890137328,"Logistic regression"
"15",0.372345412077626,0.00429017160686427,0.999687890137328,"Logistic regression"
"16",0.380021649304325,0.0046801872074883,0.999687890137328,"Logistic regression"
"17",0.396007048888638,0.00507020280811232,0.999687890137328,"Logistic regression"
"18",0.404844401913525,0.00546021840873635,0.999687890137328,"Logistic regression"
"19",0.41646944989752,0.00585023400936037,0.999687890137328,"Logistic regression"
"20",0.416641254242035,0.00585023400936037,0.999531835205993,"Logistic regression"
"21",0.422117499229127,0.00585023400936037,0.999375780274657,"Logistic regression"
"22",0.425732419640596,0.00585023400936037,0.999219725343321,"Logistic regression"
"23",0.427431625999479,0.0062402496099844,0.999219725343321,"Logistic regression"
"24",0.436990008956273,0.00663026521060842,0.999219725343321,"Logistic regression"
"25",0.44037404544057,0.00663026521060842,0.999063670411985,"Logistic regression"
"26",0.448349578542076,0.00702028081123245,0.999063670411985,"Logistic regression"
"27",0.448665186123452,0.00741029641185647,0.999063670411985,"Logistic regression"
"28",0.451571568376676,0.00741029641185647,0.998907615480649,"Logistic regression"
"29",0.462353587626312,0.00741029641185647,0.998751560549313,"Logistic regression"
"30",0.463553484193772,0.00741029641185647,0.998595505617977,"Logistic regression"
"31",0.47164049417485,0.0078003120124805,0.998595505617977,"Logistic regression"
"32",0.475156891842825,0.0078003120124805,0.998439450686642,"Logistic regression"
"33",0.480439777171655,0.00819032761310452,0.998439450686642,"Logistic regression"
"34",0.480718271549826,0.00819032761310452,0.998283395755306,"Logistic regression"
"35",0.486575653398294,0.00858034321372855,0.998283395755306,"Logistic regression"
"36",0.487716274732588,0.00897035881435257,0.998283395755306,"Logistic regression"
"37",0.48807074939264,0.0093603744149766,0.998283395755306,"Logistic regression"
"38",0.489141835068641,0.00975039001560062,0.998283395755306,"Logistic regression"
"39",0.49171332642653,0.0101404056162246,0.998283395755306,"Logistic regression"
"40",0.498856960065647,0.0101404056162246,0.99812734082397,"Logistic regression"
"41",0.499847641157943,0.0105304212168487,0.99812734082397,"Logistic regression"
"42",0.500419047413344,0.0109204368174727,0.99812734082397,"Logistic regression"
"43",0.500797563090509,0.0109204368174727,0.997971285892634,"Logistic regression"
"44",0.503223109582622,0.0113104524180967,0.997971285892634,"Logistic regression"
"45",0.505372043302579,0.0113104524180967,0.997815230961298,"Logistic regression"
"46",0.506199310221867,0.0117004680187207,0.997815230961298,"Logistic regression"
"47",0.507154383647585,0.0120904836193448,0.997815230961298,"Logistic regression"
"48",0.509137460527668,0.0124804992199688,0.997815230961298,"Logistic regression"
"49",0.509593899440542,0.0124804992199688,0.997659176029963,"Logistic regression"
"50",0.510831911347591,0.0124804992199688,0.997503121098627,"Logistic regression"
"51",0.514071390815838,0.0124804992199688,0.997347066167291,"Logistic regression"
"52",0.514774367436887,0.0124804992199688,0.997191011235955,"Logistic regression"
"53",0.517854586760695,0.0124804992199688,0.997034956304619,"Logistic regression"
"54",0.518379333146926,0.0124804992199688,0.996878901373283,"Logistic regression"
"55",0.521149543988214,0.0124804992199688,0.996722846441948,"Logistic regression"
"56",0.522243550967098,0.0124804992199688,0.996566791510612,"Logistic regression"
"57",0.522885266043645,0.0124804992199688,0.996410736579276,"Logistic regression"
"58",0.523367702670208,0.0124804992199688,0.99625468164794,"Logistic regression"
"59",0.523479246329425,0.0128705148205928,0.99625468164794,"Logistic regression"
"60",0.527314709519284,0.0132605304212168,0.99625468164794,"Logistic regression"
"61",0.527442029524365,0.0136505460218409,0.99625468164794,"Logistic regression"
"62",0.528443590281843,0.0136505460218409,0.996098626716604,"Logistic regression"
"63",0.532229244536178,0.0136505460218409,0.995942571785268,"Logistic regression"
"64",0.532963799949491,0.0136505460218409,0.995786516853933,"Logistic regression"
"65",0.533285813057823,0.0136505460218409,0.995630461922597,"Logistic regression"
"66",0.535285665806806,0.0140405616224649,0.995630461922597,"Logistic regression"
"67",0.535787663533184,0.0144305772230889,0.995630461922597,"Logistic regression"
"68",0.536951237834829,0.0148205928237129,0.995630461922597,"Logistic regression"
"69",0.536955654111094,0.015210608424337,0.995630461922597,"Logistic regression"
"70",0.537082488720178,0.015210608424337,0.995474406991261,"Logistic regression"
"71",0.537308062432429,0.015600624024961,0.995474406991261,"Logistic regression"
"72",0.541003215997317,0.015600624024961,0.995318352059925,"Logistic regression"
"73",0.542148006443112,0.015600624024961,0.995162297128589,"Logistic regression"
"74",0.545419018530376,0.015600624024961,0.995006242197253,"Logistic regression"
"75",0.545804989632366,0.015990639625585,0.995006242197253,"Logistic regression"
"76",0.547748924224797,0.016380655226209,0.995006242197253,"Logistic regression"
