"","cost","rbf_sigma",".metric",".estimator","mean","n","std_err",".config","model"
"42",0.130968294646231,6.9499770709341e-07,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model09","SVM(Tuned)"
"43",0.130968294646231,6.9499770709341e-07,"kap","binary",0,5,0,"Preprocessor1_Model09","SVM(Tuned)"
"44",0.130968294646231,6.9499770709341e-07,"sens","binary",1,5,0,"Preprocessor1_Model09","SVM(Tuned)"
"45",0.130968294646231,6.9499770709341e-07,"spec","binary",0,5,0,"Preprocessor1_Model09","SVM(Tuned)"
"46",0.017328243398024,4.43637075543215e-10,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model10","SVM(Tuned)"
"47",0.017328243398024,4.43637075543215e-10,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model10","SVM(Tuned)"
"48",0.017328243398024,4.43637075543215e-10,"kap","binary",0,5,0,"Preprocessor1_Model10","SVM(Tuned)"
"49",0.017328243398024,4.43637075543215e-10,"sens","binary",1,5,0,"Preprocessor1_Model10","SVM(Tuned)"
"50",0.017328243398024,4.43637075543215e-10,"spec","binary",0,5,0,"Preprocessor1_Model10","SVM(Tuned)"
"51",0.00516035725429665,2.46695800661755e-10,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model11","SVM(Tuned)"
"52",0.00516035725429665,2.46695800661755e-10,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model11","SVM(Tuned)"
"53",0.00516035725429665,2.46695800661755e-10,"kap","binary",0,5,0,"Preprocessor1_Model11","SVM(Tuned)"
"54",0.00516035725429665,2.46695800661755e-10,"sens","binary",1,5,0,"Preprocessor1_Model11","SVM(Tuned)"
"55",0.00516035725429665,2.46695800661755e-10,"spec","binary",0,5,0,"Preprocessor1_Model11","SVM(Tuned)"
"56",0.0103074120649334,2.81576314437801e-09,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model12","SVM(Tuned)"
"57",0.0103074120649334,2.81576314437801e-09,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model12","SVM(Tuned)"
"58",0.0103074120649334,2.81576314437801e-09,"kap","binary",0,5,0,"Preprocessor1_Model12","SVM(Tuned)"
"59",0.0103074120649334,2.81576314437801e-09,"sens","binary",1,5,0,"Preprocessor1_Model12","SVM(Tuned)"
"60",0.0103074120649334,2.81576314437801e-09,"spec","binary",0,5,0,"Preprocessor1_Model12","SVM(Tuned)"
"61",11.5717328000564,1.17226349430825e-06,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model13","SVM(Tuned)"
"62",11.5717328000564,1.17226349430825e-06,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model13","SVM(Tuned)"
"63",11.5717328000564,1.17226349430825e-06,"kap","binary",0,5,0,"Preprocessor1_Model13","SVM(Tuned)"
"64",11.5717328000564,1.17226349430825e-06,"sens","binary",1,5,0,"Preprocessor1_Model13","SVM(Tuned)"
"65",11.5717328000564,1.17226349430825e-06,"spec","binary",0,5,0,"Preprocessor1_Model13","SVM(Tuned)"
"66",2.72553133427613,5.0081110094793e-06,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model14","SVM(Tuned)"
"67",2.72553133427613,5.0081110094793e-06,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model14","SVM(Tuned)"
"68",2.72553133427613,5.0081110094793e-06,"kap","binary",0,5,0,"Preprocessor1_Model14","SVM(Tuned)"
"69",2.72553133427613,5.0081110094793e-06,"sens","binary",1,5,0,"Preprocessor1_Model14","SVM(Tuned)"
"70",2.72553133427613,5.0081110094793e-06,"spec","binary",0,5,0,"Preprocessor1_Model14","SVM(Tuned)"
"71",0.98923902596039,0.0085941945285399,"accuracy","binary",0.715448302278811,5,0.000690595369738351,"Preprocessor1_Model15","SVM(Tuned)"
"72",0.98923902596039,0.0085941945285399,"f_meas","binary",0.833800390226195,5,0.000357666239861393,"Preprocessor1_Model15","SVM(Tuned)"
"73",0.98923902596039,0.0085941945285399,"kap","binary",0.00743019978889374,5,0.00323279166795515,"Preprocessor1_Model15","SVM(Tuned)"
"74",0.98923902596039,0.0085941945285399,"sens","binary",0.999375853254271,5,0.000291877249729018,"Preprocessor1_Model15","SVM(Tuned)"
"75",0.98923902596039,0.0085941945285399,"spec","binary",0.00585023757309941,5,0.00222256535541311,"Preprocessor1_Model15","SVM(Tuned)"
"76",23.6757821353999,0.00040820674275874,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model16","SVM(Tuned)"
"77",23.6757821353999,0.00040820674275874,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model16","SVM(Tuned)"
"78",23.6757821353999,0.00040820674275874,"kap","binary",0,5,0,"Preprocessor1_Model16","SVM(Tuned)"
"79",23.6757821353999,0.00040820674275874,"sens","binary",1,5,0,"Preprocessor1_Model16","SVM(Tuned)"
"80",23.6757821353999,0.00040820674275874,"spec","binary",0,5,0,"Preprocessor1_Model16","SVM(Tuned)"
"81",6.90545172944502,2.50381719766192e-07,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model17","SVM(Tuned)"
"82",6.90545172944502,2.50381719766192e-07,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model17","SVM(Tuned)"
"83",6.90545172944502,2.50381719766192e-07,"kap","binary",0,5,0,"Preprocessor1_Model17","SVM(Tuned)"
"84",6.90545172944502,2.50381719766192e-07,"sens","binary",1,5,0,"Preprocessor1_Model17","SVM(Tuned)"
"85",6.90545172944502,2.50381719766192e-07,"spec","binary",0,5,0,"Preprocessor1_Model17","SVM(Tuned)"
"86",2.52253171545448,0.01697329000175,"accuracy","binary",0.715782377795156,5,0.000638415391471078,"Preprocessor1_Model18","SVM(Tuned)"
"87",2.52253171545448,0.01697329000175,"f_meas","binary",0.833789394849814,5,0.000376104690927161,"Preprocessor1_Model18","SVM(Tuned)"
"88",2.52253171545448,0.01697329000175,"kap","binary",0.011719838363381,5,0.00297005915621304,"Preprocessor1_Model18","SVM(Tuned)"
"89",2.52253171545448,0.01697329000175,"sens","binary",0.998127072623889,5,0.000803688719701585,"Preprocessor1_Model18","SVM(Tuned)"
"90",2.52253171545448,0.01697329000175,"spec","binary",0.0101394980506823,5,0.00241830518820608,"Preprocessor1_Model18","SVM(Tuned)"
"91",0.022580148577663,0.00236498274447635,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model19","SVM(Tuned)"
